 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:1995-2007
"Unidade da Federação";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"31 Minas Gerais";341207985,19;344961146,05;351596974,62;411847892,00;491822380,15;507456641,69;535272063,23;564736372,23;618810785,08;698748359,59;748152711,39;758326126,94;827306929,87;7200246368,03
"32 Espírito Santo";48182755,83;46286619,06;48295327,65;60390393,99;71097391,98;73371937,08;75648659,26;87543202,18;94607755,53;108705592,81;117441159,53;111978059,81;131382260,16;1074931114,87
"33 Rio de Janeiro";302410401,87;300734790,49;307942329,20;349238482,60;417082875,90;436079843,45;440080124,13;439836468,21;462301346,25;510325204,39;504236093,84;488089226,54;535235024,89;5493592211,76
"35 São Paulo";791955315,92;776728696,08;777811150,25;917462033,44;1190958178,04;1177214563,75;1223945933,77;1320812403,56;1442423017,93;1619046444,29;1736814356,22;1760196405,04;1927431470,01;16662799968,30
"41 Paraná";233499899,12;238123972,88;241641567,84;292390408,41;361068710,65;369240013,30;398158799,24;429536880,68;467001072,71;498344711,43;503886505,63;518245622,19;566751256,63;5117889420,71
"42 Santa Catarina";89431693,60;91158324,81;93751475,40;108990300,23;140057153,85;150280067,95;162043925,47;180296533,72;197746330,86;226894892,44;258831156,78;265717295,35;288448727,12;2253647877,58
"43 Rio Grande do Sul";259900994,28;261315550,86;263462907,73;311104716,91;387840376,58;373773682,45;388546797,59;409452307,57;436913769,82;494919886,36;516137370,92;514663054,39;557379607,44;5175411022,90
"50 Mato Grosso do Sul";37208952,97;40142472,62;40963783,16;52231255,29;63451174,18;65907399,13;67592809,06;74078790,44;83542564,47;88306414,73;94516296,64;97437019,49;105511086,91;910890019,09
"51 Mato Grosso";42660400,78;41204909,62;40312098,91;49329689,93;58020654,34;68594764,63;69374582,75;78288139,83;83687979,73;90380990,00;95193843,71;89402849,05;96548942,63;902999845,91
"52 Goiás";99707300,81;95638140,21;95861313,80;113961627,94;133358668,49;144215365,20;155313381,42;173293659,25;183554677,94;208419905,59;218532495,06;214163847,51;215066138,07;2051086521,29
"53 Distrito Federal";36038270,43;36499724,68;41043253,52;50198795,47;63259851,79;64866010,79;74736109,26;65655843,19;76556097,54;98986152,24;102821517,54;103882220,62;117081473,18;931625320,25
"Total";3192437637,99;3182266324,04;3205852023,26;3809273656,28;4733411101,64;4886848236,08;5096155505,04;5406391841,17;5861712487,36;6581213333,54;6956764584,29;6998043548,10;7617769441,99;67528139720,78
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
