 Morbidade Hospitalar do SUS - por local de residência - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:2008-2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"24 Rio Grande do Norte";3591,25;2443,87;3272,28;1271,90;2309,24;1179,90;2921,75;2809,57;1409,32;1832,79;1529,35;1732,60;2161,77;2550,60;2720,96;2984,82;2244,77;2105,67;1968,51;1571,03;2597,33;1249,21;1712,88;2807,86;1808,72;2674,57;1823,78;4088,34;10774,66;3792,83;2126,09;9022,59;2567,19;3082,68;1686,23;2147,95;2672,40;4851,09;2251,60;2334,98;4154,18;1359,88;2169,13;2271,10;2369,98;2596,76;5214,94;7924,35;4205,14;2256,08;1704,73;4874,04;2015,39;1602,28;689,33;1348,28;3412,92;1234,56;673,33;1528,99;609,33;2046,32;876,44;1229,14;7861,95;3958,64;3226,73;2301,54;2079,89;1855,86;10962,09;2077,87;1949,06;1497,92;895,64;1233,33;4831,61;18979,10;3143,50;2653,13;2828,04;8932,55;1263,50;1373,23;2509,07;1157,50;720,71;878,61;614,34;647,28;1293,35;5626,49;12875,26;1464,51;2040,85;1372,64;641,33;1524,44;871,75;1118,23;956,76;3525,30;203,11;422,22;10603,51;1105,72;665,33;4054,21;785,45;574,22;1616,72;641,33;6252,04;657,33;1197,78;1838,12;721,33;542,22;2717,05;2045,82;5053,63;203,11;1422,48;1917,76;1357,62;672,07;1165,48;657,78;-;550,34;2340,38;-;1743,08;666,33;438,22;203,11;1168,61;3310,05;726,51;795,39;974,15;1074,05;420,52;3506,88;626,33;1648,38;1078,56;1936,11;713,33;-;-;219,11;1027,05;462,22;679,50;227,11;368423,91
"25 Paraíba";4465,40;4344,02;11590,99;5753,05;5063,46;5571,63;7273,51;5167,04;5413,95;10080,85;4082,58;4391,34;5717,20;13387,58;3666,77;4457,64;3740,77;7464,99;6882,98;5424,35;5682,75;7032,65;6827,21;8774,28;4689,39;7148,79;7384,53;4192,20;8208,07;10494,64;5997,99;4953,11;4975,42;6116,25;5889,84;3625,38;2030,94;2401,60;5769,97;1924,16;1805,22;3318,61;1567,19;1111,55;2604,33;2004,57;1581,77;2094,64;3105,51;3729,31;2434,21;3203,68;3017,58;1101,50;2697,82;2303,02;3720,52;2312,30;2532,51;6153,33;2413,44;2794,22;1824,88;5151,07;3267,91;3570,63;5320,94;2494,31;4957,85;4446,61;5436,16;11569,12;7471,26;5808,03;7141,28;4528,41;6285,21;8522,01;6590,01;1369,93;5755,14;3702,98;3564,11;3063,13;3333,17;2231,06;1839,62;1700,41;2233,13;1489,33;2737,58;2892,62;2242,47;877,78;2687,51;2745,23;4299,49;2198,53;2436,53;4877,49;3525,91;2021,93;2391,31;8025,37;14868,91;1117,50;1901,71;1640,69;1589,76;861,59;6836,10;493,89;613,35;446,22;4244,51;482,12;887,86;3403,79;416,39;-;627,50;3994,28;2939,60;3044,64;956,44;-;-;1248,48;15917,49;1821,60;-;557,73;1139,26;1727,58;3175,18;3245,68;2718,64;5663,17;871,23;2518,44;422,22;1723,28;1010,99;4454,40;1793,28;2868,12;1587,97;2004,93;5912,62;2440,04;566,32;1336,87;267,51;462,22;1798,90;1426,87;586341,42
"26 Pernambuco";39183,94;54768,63;49649,93;70328,20;47682,57;65169,61;26439,98;46613,69;50997,43;41221,40;32037,68;81173,34;46576,93;40661,75;55470,14;96307,91;76095,75;64838,15;45332,87;45785,39;73773,03;65290,77;58283,10;43156,49;52470,49;39390,30;36859,18;49678,14;31687,36;42261,69;60475,28;53582,66;35405,00;38611,61;39538,26;50392,46;37548,10;51754,82;32436,21;45659,32;54360,77;57678,27;60201,69;37472,90;44670,10;45343,04;56485,12;51958,10;69393,14;50936,30;45341,18;36283,79;52687,64;40067,77;29880,98;21656,16;32372,05;36890,89;50189,67;48853,10;17971,45;47492,93;15427,86;26130,28;40251,57;32225,64;59124,76;34356,61;53287,85;28568,38;53713,14;44306,46;32119,64;37601,02;52274,67;36901,93;35384,57;26109,03;40685,82;41740,42;71200,66;56871,77;67539,66;18535,37;29182,82;60454,55;45231,16;48679,01;49266,10;33031,49;14109,20;33313,03;55190,26;38379,89;33952,56;27001,66;57796,19;56957,21;60152,58;51439,60;48556,62;37359,68;48105,65;58356,79;52731,86;58352,12;32205,40;44962,32;35343,48;61981,57;74931,34;37684,84;59151,36;64598,52;81771,41;64930,94;33614,27;33014,83;56277,74;53076,62;74674,48;49466,33;55760,78;71973,25;52478,53;52016,70;68522,70;44225,72;48094,99;39283,12;31552,78;29358,08;42358,64;51695,49;63587,50;68577,30;33010,17;39345,20;53030,75;40897,65;31731,32;29749,30;48458,51;55976,34;55113,79;102834,91;57639,12;59988,37;44024,05;49315,34;48705,67;20364,04;65608,24;57118,00;56486,08;10535,71;7441837,33
"27 Alagoas";3580,10;4730,28;5406,87;5687,65;10735,59;2692,38;208,65;2115,66;778,60;2165,67;3691,75;1377,49;1975,09;1376,63;4901,92;4056,32;1757,08;1567,58;609,33;2490,55;478,22;7874,25;900,44;1594,26;243,11;235,11;1432,39;720,26;1465,78;1247,06;3447,82;6625,25;580,07;2979,63;1403,49;1853,49;7456,03;4170,19;1922,96;2345,07;7818,99;1342,56;1794,33;406,22;1098,02;5413,04;14154,23;890,39;1285,03;2672,99;779,86;3540,62;2022,97;4644,71;5811,06;1136,67;663,28;1811,72;203,11;7595,23;625,33;491,40;703,28;1122,74;9483,40;7932,98;5649,69;4903,71;18802,91;3794,62;947,46;2925,37;1165,04;3257,67;1565,89;1563,39;1152,67;999,24;241,06;1213,06;710,00;876,44;4570,42;2880,86;4689,16;2767,76;3465,80;1772,44;-;751,72;950,27;3020,46;851,98;17115,51;1026,89;416,39;1859,09;851,58;9531,74;458,92;773,23;589,16;920,26;1664,89;-;2209,37;265,06;2191,81;3089,18;10473,67;6405,54;-;406,22;3294,52;275,11;6785,04;7376,16;3508,44;353,26;13818,76;1499,11;717,65;592,23;421,60;1646,09;-;772,31;868,05;564,45;1060,92;478,22;930,39;373,39;628,69;203,11;-;5141,77;1362,83;968,28;752,01;-;203,11;1110,17;251,11;203,11;304,66;1725,72;686,61;1399,85;-;-;4441,50;361,58;815,80;259,11;4149,64;402366,19
"28 Sergipe";406,22;960,62;4570,30;1603,55;774,11;2454,69;1987,33;2299,85;2896,87;4980,56;3603,36;478,01;1898,91;2550,01;2814,10;2220,69;2717,25;2640,74;2197,97;980,77;1526,68;659,17;2188,90;4757,23;738,15;203,11;11697,04;1268,63;3374,29;3408,86;4121,72;7186,84;3791,17;139,37;1075,02;862,28;1927,55;1853,30;1416,45;652,29;796,50;1890,54;2128,91;895,96;4737,37;2340,47;1024,32;1625,28;3124,11;1952,36;787,02;2588,51;1961,71;3709,92;846,88;876,44;2300,91;259,11;1212,28;-;1561,98;2240,50;854,60;3039,25;1754,88;203,11;2998,55;1065,39;1131,14;996,40;1059,44;2484,12;231,13;609,33;1794,79;6781,31;641,21;603,56;6947,42;2573,83;1890,43;698,02;1004,46;203,11;564,69;392,55;247,33;2358,68;893,52;321,68;1962,92;796,78;1526,22;4404,38;3212,73;666,24;784,11;499,34;769,30;390,00;669,56;1257,22;881,40;972,32;221,59;1386,76;1435,81;110658,73;710,88;6906,52;247,33;44,22;603,78;203,11;-;433,35;-;406,22;203,11;948,64;812,44;690,39;96630,43;265,06;243,73;203,11;2134,59;-;235,11;304,83;662,82;203,11;1123,11;203,11;2094,27;4643,67;714,81;361,41;-;979,17;219,11;361,58;688,47;983,97;-;-;-;721,76;304,66;241,06;-;-;1351,83;203,11;-;10763,95;452636,21
"29 Bahia";7199,50;14980,01;10107,08;17481,99;21905,61;25696,84;14571,08;12378,87;13926,31;11519,38;10647,95;12448,28;16154,87;32374,07;28493,63;35724,16;21376,57;69436,05;30245,68;30990,89;40984,35;31175,03;38361,70;30326,10;67335,31;30166,80;64104,74;43776,84;32442,02;26237,00;79304,82;25649,11;47619,96;30351,37;56713,25;69109,18;27287,17;47547,82;42252,68;65175,88;22774,15;30415,30;26703,57;19908,96;13676,92;20906,85;16643,07;8798,74;15027,83;13200,54;11079,69;11691,04;21568,28;14780,31;10588,36;18029,69;13137,15;20993,13;11856,13;9316,55;19661,32;13838,89;7886,95;12593,80;23791,01;14163,57;14931,43;15987,73;15367,11;18209,40;10599,71;13569,74;21254,01;21363,23;16493,61;17145,13;11618,15;41346,39;19212,04;12462,70;26468,10;12900,77;9186,00;16305,56;13843,89;6688,63;9328,34;11319,33;4204,77;6545,85;9822,59;16821,03;2739,63;10738,18;10445,60;5466,41;9468,66;3318,57;17096,37;6184,55;6603,34;15082,55;12095,63;23836,81;5271,60;12569,12;10244,11;3889,27;6836,42;6667,66;6956,59;5633,91;3102,56;6663,30;1878,64;6054,74;4529,39;118301,60;10372,73;7954,27;5903,49;6053,32;4482,27;8391,07;12409,29;10445,94;5494,59;7385,14;2691,83;8987,49;3419,32;10503,26;6510,02;3710,65;6720,91;15399,95;9504,22;8140,14;132099,31;4784,13;6257,96;4521,58;5247,21;8953,94;6927,24;6670,96;25234,99;11351,26;14802,05;4187,81;7768,72;6057,41;6848,01;5467,08;6174,66;3421,61;2892538,03
"31 Minas Gerais";26418,23;42664,35;37780,84;53958,44;39974,19;32268,92;32476,37;34070,42;41158,70;40459,84;30640,49;45082,58;29637,56;24368,03;29881,33;30393,21;21663,62;13457,29;27639,69;28932,35;21652,49;31604,22;17992,68;24355,84;32034,28;33940,31;20645,79;24288,55;21714,96;44995,12;20619,28;33332,86;24003,10;18990,09;15568,38;18750,90;15120,68;27219,11;22316,71;20475,73;31232,81;16661,86;20567,33;24911,54;24569,93;17295,20;21863,45;18246,90;24298,92;12459,60;19709,68;20916,44;25239,77;19988,36;25715,65;22940,64;15902,50;15576,87;19645,49;34763,89;38682,80;41274,05;11945,72;14655,90;18153,40;19376,10;31545,30;16116,28;12630,23;16836,14;19570,66;40000,37;14656,00;21797,58;19792,99;36482,84;12581,23;9883,20;24429,62;17210,36;23904,59;13564,33;18860,59;22599,66;13669,85;16114,61;23000,88;26870,09;30626,65;13669,04;13087,75;15892,50;15827,36;14291,46;4673,98;27410,28;14999,74;9637,95;12232,65;13091,18;22872,75;22325,86;19300,88;15677,18;21448,11;12379,17;12676,99;9912,60;32211,90;16396,94;20244,05;35505,02;17585,15;14413,21;15676,34;12328,26;29514,07;14370,06;17971,54;11936,50;22923,63;21597,93;37462,77;28454,30;30709,74;9999,25;22593,39;6122,16;11864,07;18833,88;14939,90;9079,12;30018,64;39125,00;21753,40;22915,73;24803,66;26171,82;15525,34;15719,74;11161,52;16241,61;22496,26;6376,37;31604,69;49575,10;28304,02;14730,87;20653,41;20894,01;10167,55;22574,28;9277,66;17793,49;31026,82;14905,87;3499843,85
"32 Espírito Santo";7662,49;2916,57;4334,50;5425,08;4253,89;2574,74;2671,05;2519,02;4056,83;2310,92;2662,69;1577,95;3854,09;4667,56;2506,97;2008,99;5123,08;1791,19;5449,66;1149,60;2216,75;3194,52;3812,03;1426,75;4279,93;7114,02;2208,36;2966,78;742,33;3010,91;2054,73;3401,88;2694,13;3266,50;3507,31;2790,58;6296,31;2874,36;6327,98;4632,31;4452,82;1479,72;3999,35;1733,57;2980,91;2971,07;1519,09;1464,96;1832,24;12919,19;1394,34;4912,37;1192,91;651,81;4166,44;1811,77;828,44;2187,42;4897,88;1517,77;3083,51;1314,78;9748,98;3228,73;3243,92;4531,81;20174,78;14891,73;8913,57;19432,47;12897,62;5367,95;3973,56;2259,88;1868,74;1772,84;2267,80;4160,97;2782,50;3278,64;2808,60;1157,04;2267,48;2544,50;21950,00;2016,20;1737,64;2730,50;406,22;3167,08;9519,64;655,28;1968,89;3992,44;13534,60;5822,81;2589,89;2058,99;1671,27;920,80;1603,84;7119,11;1644,64;1431,02;7788,53;1169,32;18241,99;8038,10;5454,54;2377,79;6549,04;1631,30;6047,13;20183,89;3150,11;3630,58;203,11;1360,41;792,50;5590,86;5707,32;1288,06;5703,76;4577,67;4645,98;1874,69;1370,09;3830,15;2979,78;1329,80;3980,35;1079,55;4403,97;1034,75;908,80;7256,91;609,33;540,93;6074,98;812,44;5139,18;5948,06;1137,22;4372,83;3525,44;2974,75;1778,20;4847,12;9796,45;3060,27;765,38;4616,52;7955,30;7333,42;21517,41;3624,45;662373,18
"33 Rio de Janeiro";13276,17;12259,08;26789,15;15557,92;20225,50;14132,78;17552,47;15016,76;16692,58;19387,14;14893,96;14154,41;9132,47;17613,01;16125,29;14815,66;13945,01;12852,32;18489,68;13781,70;17721,36;10861,01;15065,45;10411,42;17352,60;9353,65;13320,91;14004,30;15997,86;16583,59;11264,81;19927,26;14951,05;13125,12;9771,09;10306,22;14467,45;12176,62;11021,21;12095,57;12455,59;14095,64;11836,85;13545,36;12576,58;27040,05;10963,28;15674,14;13459,65;13094,88;9419,79;14549,26;19343,54;18429,28;18925,57;25959,35;19906,27;12716,22;13625,97;7785,21;25486,35;9115,14;14341,42;12934,53;9203,85;10299,99;9527,34;11652,52;11413,32;10238,85;8029,92;8682,95;9957,32;15535,71;12141,57;12426,54;5955,90;12935,93;9307,21;9016,20;9391,67;8681,72;6154,11;8482,26;12414,31;9820,61;7132,23;13496,42;9451,11;9845,45;14041,59;4960,93;6682,25;12296,99;10936,67;9776,90;6761,86;13873,73;12161,42;10454,48;7561,46;14105,72;19412,68;11205,67;6777,52;13042,93;5276,75;10746,33;11948,77;7749,52;14986,93;19594,58;17710,19;5719,13;9240,60;7821,40;10997,35;17326,09;7458,95;13119,44;22698,21;15278,57;10957,66;10838,99;13112,18;17131,26;6133,28;11347,25;5788,49;14306,35;9795,32;4312,49;14184,08;14036,08;7463,29;36790,20;18920,73;2554,22;6646,82;12336,36;6357,42;7456,40;6510,77;10838,27;4970,99;14512,31;5104,23;7507,13;23159,49;2795,76;4283,41;1817,00;5955,67;14109,50;2804,19;1490,23;1922999,97
"35 São Paulo";74681,41;94338,66;84391,95;102527,54;81352,67;56958,22;60304,31;63572,02;65219,88;84159,47;64712,40;64587,24;84293,18;58063,00;70449,33;44608,40;59851,81;54921,21;55483,12;56112,44;48027,16;86909,24;54202,57;65608,26;56264,25;56627,20;67408,80;40059,47;65058,91;47149,73;61878,95;38717,10;52529,73;53006,38;40963,10;49196,78;30124,67;44285,54;38402,98;39621,61;58414,94;58867,25;40512,47;40428,51;40445,23;44539,89;91559,74;52662,30;41290,51;47539,27;53413,02;31369,56;44788,66;52066,25;45566,83;51475,13;53814,75;41422,80;57200,53;32896,91;39266,26;42939,21;46623,06;55747,92;55187,02;38385,30;39324,71;53845,72;62970,52;63469,71;41938,03;65725,54;44769,19;29975,36;48168,01;67194,88;37103,01;57860,26;48586,58;45221,64;37350,13;56165,39;36691,22;43188,49;50858,19;163977,63;55400,48;38744,73;144942,53;170172,46;32103,79;172053,45;41329,12;54052,16;389150,65;43942,07;271527,03;160730,85;31658,91;148902,79;25112,39;148328,63;262664,18;172221,87;269566,45;47246,16;35778,75;27616,11;54873,65;27734,40;50879,56;47151,61;40126,38;50067,82;62397,04;162485,04;159159,68;36111,51;47218,87;162841,22;45644,53;209236,24;76233,04;168955,53;161176,04;42406,03;47272,73;32942,75;123648,32;62859,43;22558,31;151876,15;39016,96;40925,54;181226,19;26561,76;38415,84;66321,43;30552,02;69343,52;67815,78;263249,32;69362,21;84425,80;64736,74;39773,44;51425,11;30552,12;164962,96;24381,70;38269,45;46767,45;37279,78;63339,14;61839,13;50767,53;11209850,58
"41 Paraná";14365,24;37129,47;31341,05;29666,69;17605,07;11505,04;10125,14;11862,02;14762,19;18684,10;17205,36;18364,63;24153,11;14712,32;16183,19;13928,41;17369,19;8791,76;9629,72;8097,60;11554,76;10552,73;7402,03;8810,35;10954,39;9498,30;9954,98;9217,93;10952,53;8617,76;8874,01;8953,82;8579,11;10954,60;9284,88;8543,86;6648,14;10197,88;6488,27;6075,92;7851,25;7622,77;11586,46;10747,10;11369,61;13050,46;8979,45;6230,63;16272,66;9612,19;13422,78;13793,99;10488,36;11292,52;4813,47;3815,55;7208,21;9156,85;17680,80;7753,57;10692,33;16687,12;5723,90;19127,31;11650,68;4883,41;9911,69;10592,73;23891,22;8542,79;8373,78;3268,09;4697,95;5329,41;11103,13;5886,53;8726,94;6321,01;7259,27;5652,05;5926,16;14588,40;15596,80;8536,56;10368,58;13548,94;6549,69;6766,00;15037,43;4876,61;4978,34;11081,23;5540,49;9827,17;8074,38;10294,09;14791,67;10996,66;5020,10;7386,95;19421,78;5700,73;6034,70;4889,56;7000,28;1472,30;6686,55;6463,95;9183,27;5106,60;13582,73;14573,62;13056,12;3572,94;5953,14;4330,28;6615,31;6881,24;12062,33;5163,74;15529,02;12485,41;13911,79;24447,12;14418,13;12289,82;9648,28;22957,71;8229,11;10553,70;12181,72;8571,24;3222,63;16065,76;9544,97;11898,01;11429,96;10270,18;15298,10;25142,57;20386,86;5383,35;9658,33;9976,60;16547,56;31595,69;15232,82;15441,83;12647,89;5821,51;15255,41;9698,60;7901,56;9671,80;11869,42;6198,20;1737587,65
"42 Santa Catarina";8048,69;12694,09;13920,85;9797,28;6331,84;6249,09;11218,33;7658,90;11553,24;8087,08;11802,66;8571,27;11704,35;16449,32;18335,23;12890,75;8512,20;12569,01;9838,41;13136,91;6492,74;7234,42;15518,80;10615,45;6478,03;8448,03;9046,27;11744,87;11355,13;5861,93;3148,63;11719,94;11538,24;9552,00;8682,31;11843,60;7050,36;12143,12;6229,50;10642,58;13707,54;11133,40;9777,10;10935,99;12939,30;11487,79;4503,57;16760,73;6023,70;13065,71;5809,00;8411,68;8691,78;13470,12;10011,28;11935,41;12770,59;6302,49;4929,21;9817,46;8730,41;19624,11;7104,95;13921,86;9758,89;10047,09;8808,78;11606,58;9872,57;7818,08;7716,77;7668,08;5032,41;8343,06;9501,08;14734,15;5819,55;6100,95;13022,92;10905,36;9075,37;16422,85;8833,48;12303,19;17416,55;6558,69;5912,70;13262,04;4331,82;5190,29;11571,18;13645,46;17301,89;4567,52;3408,98;3967,36;12229,49;6491,12;6772,73;10374,59;10504,33;10842,86;28626,64;11566,39;6590,06;2567,35;8078,13;6827,82;7255,14;4298,90;10194,40;7214,27;8036,50;6793,87;9626,08;5060,19;8762,92;5378,42;95052,73;4375,17;7246,44;96998,55;5671,15;4950,38;12264,47;9446,44;12597,89;4896,27;5849,65;9404,41;10562,03;13045,08;5824,25;4640,01;7228,01;7960,91;4280,91;10366,97;7213,99;9679,48;5064,16;11251,34;9411,25;3594,54;15256,30;15207,49;29667,17;5405,89;10110,44;5640,94;6598,43;11042,57;5609,33;26782,49;4553,78;3456,26;1669406,09
"43 Rio Grande do Sul";18966,85;38951,62;22978,84;37463,31;42184,30;30739,78;62063,75;36544,47;30142,14;30825,06;16161,98;18405,95;23019,54;30308,52;30135,95;28759,81;35480,39;19619,22;29481,70;18951,69;25395,83;23009,78;45017,23;48895,12;36236,54;26820,64;22147,46;21902,50;20942,58;18271,91;31182,52;11292,17;19325,99;22427,96;13717,49;22918,46;18965,29;16704,43;25992,83;19468,92;14045,29;31277,95;16611,59;17199,71;16372,35;17450,11;42345,15;26618,73;12632,12;15820,43;14921,40;18726,69;19343,04;14778,79;15211,77;22283,52;27304,49;11933,48;20838,06;13725,09;13314,37;15742,08;26060,78;16327,89;21232,35;25864,40;34705,92;22474,03;24566,24;20094,34;11601,86;23159,61;18510,26;17620,16;25284,87;18302,09;11356,59;29106,05;20382,65;15247,67;9907,24;16074,70;23476,56;22721,63;15568,63;16552,52;17603,52;13777,85;18355,52;16516,22;13591,21;10691,36;50767,53;34884,68;18453,52;17585,90;15894,11;12479,07;19015,72;28235,32;10186,85;14416,07;36817,00;12133,90;8349,85;20228,67;14056,23;12412,64;11519,31;14065,99;13660,13;13314,48;48980,48;24789,92;21512,83;29862,75;19714,89;14588,18;10181,29;17499,91;14038,31;17735,04;25371,29;15277,90;17477,97;16702,26;12259,42;15729,48;11469,88;12273,71;13757,77;20470,08;9325,39;25891,24;10825,72;10021,38;17114,12;3446,20;7761,99;29261,95;4349,27;8681,03;9813,71;10504,38;15980,95;21437,40;19375,56;18816,55;37040,10;15123,18;10795,64;8898,66;15289,56;6959,75;8064,66;18319,67;3188319,84
"50 Mato Grosso do Sul";5091,75;6645,43;8310,84;4322,99;5629,74;4916,90;1846,96;2791,60;15458,68;10457,79;11728,13;5364,63;5356,78;3918,88;2225,01;7530,76;4954,34;4638,52;5380,14;10747,08;2060,45;1973,93;3193,37;5268,25;2211,04;3960,59;3909,05;3650,65;3600,58;8343,19;486,34;1509,53;3018,81;2739,37;2615,31;3503,29;2597,54;2524,32;2144,47;705,53;11339,09;2105,31;4282,38;2175,24;1343,22;1561,83;1199,81;3408,99;4147,52;844,64;1647,21;2631,34;17910,10;21689,25;10103,09;9654,38;2658,44;559,99;2056,28;2183,06;7565,03;868,44;4037,18;11613,56;1148,26;1566,83;11093,53;8108,25;1835,89;2463,93;1542,45;2114,09;1080,72;1723,47;3661,61;3666,00;5104,52;2549,98;3023,77;5167,04;1523,72;849,73;3771,38;4462,07;8550,59;8045,06;3347,62;4450,69;4722,87;3055,18;1658,34;16482,70;6053,48;1478,73;5654,91;4289,32;1239,67;2752,46;4619,46;3911,06;3418,13;1502,48;10539,62;1021,84;2977,82;2278,49;3157,57;527,86;2517,49;1322,75;481,76;3131,64;705,45;5921,80;3360,21;1031,55;3421,95;1856,44;2558,35;1464,28;1512,74;4181,99;2277,03;1137,82;2134,97;4785,23;1892,35;2605,08;2340,29;3242,76;1242,92;2401,31;4329,03;476,17;934,08;219,11;2265,33;4107,07;2733,23;5244,55;1508,77;1245,22;2072,95;2851,54;7600,51;673,33;2217,24;1667,06;2195,15;705,45;1255,92;1893,47;2637,58;2188,46;4976,61;406,22;601043,34
"51 Mato Grosso";4673,41;7253,13;9611,28;19548,93;11790,79;4803,64;5909,49;4183,81;3787,73;6745,83;1907,77;11212,22;6052,89;7021,26;10283,22;3496,43;5274,03;2815,44;5424,41;4076,02;2581,50;2167,18;4498,37;3603,98;2319,54;2095,10;4054,09;12265,54;5440,35;3386,62;5234,98;4638,99;5478,67;1506,40;1226,58;2240,56;4138,17;6296,35;12745,38;9032,83;4442,06;6820,27;3361,73;2363,16;5062,79;6796,35;8863,11;2081,15;2648,17;5664,93;1552,59;2282,73;2690,84;2481,14;3759,38;7076,40;2418,22;5059,94;994,06;3803,33;1735,03;1778,83;1830,96;7280,74;2711,24;1997,03;5074,59;2834,32;1516,51;1578,31;4417,33;4603,70;2848,90;6332,18;3506,86;4134,33;4822,06;9575,29;5939,62;3585,70;7388,19;7011,55;5525,42;3727,19;5236,39;4595,98;3549,79;4943,53;6513,33;2537,23;1936,28;2909,53;3536,87;3122,68;1587,84;2638,68;4534,03;3167,97;9268,53;2711,26;2547,42;3401,09;1847,56;2405,86;5298,09;1501,77;2536,05;1132,74;2582,17;1703,51;2902,16;1278,21;1507,84;2548,16;552,87;113982,89;1406,46;781,27;2932,36;203,11;1095,29;1604,10;406,22;219,11;952,53;1471,97;1006,49;2266,41;664,28;1957,41;15277,25;1110,85;1051,55;1279,43;203,11;1791,11;2293,17;1864,34;553,89;3139,10;2056,82;4932,67;5603,61;1285,26;2111,23;1708,04;249,06;1202,89;2785,64;1118,39;560,85;1217,56;355,26;826,05;711,28;1055,55;696630,42
"52 Goiás";3731,36;10933,38;6822,66;8981,11;6709,88;3365,89;6676,36;4001,01;4375,28;3021,55;4651,39;2453,75;4034,11;9775,74;6683,06;4594,94;8332,65;10230,20;11179,45;5904,46;4543,08;6389,87;20731,07;9872,16;6759,48;5553,31;8956,21;8436,04;5024,95;8851,84;11564,78;6763,70;9460,03;1993,42;4180,87;5214,37;8439,22;19317,54;8055,62;6179,89;5991,80;8186,87;15630,89;6161,55;7176,71;4914,66;11077,36;17816,44;8324,56;7321,41;3908,60;21152,98;10794,14;7468,77;3430,63;6655,29;4603,06;907,94;8837,29;5134,31;3802,25;6821,20;4529,31;3496,76;9560,19;2903,28;5621,25;5676,98;4260,29;6268,81;3108,20;4799,30;10714,71;4434,96;7336,43;2450,27;9004,91;8676,40;4856,29;8006,00;16494,60;9675,49;19174,08;5835,37;4602,06;2244,79;18978,94;1920,05;5917,60;5467,51;4754,53;2429,16;10612,89;7110,59;9690,45;9584,55;7655,83;12893,48;21604,65;2426,41;2614,86;7934,58;9393,09;8715,29;14314,83;9535,82;20319,30;11170,66;3913,57;4673,32;14206,61;9851,87;10274,03;4060,84;2336,98;5080,47;2100,08;10494,94;4209,17;3145,87;4583,25;5298,54;6752,55;14231,28;12713,97;4554,53;12588,05;3005,80;3962,83;9373,29;3756,75;6816,07;20232,30;14196,53;2315,15;7664,69;3638,72;3233,53;10779,40;4919,18;11651,19;2694,06;3159,76;7141,80;8450,31;12092,47;1366,40;5801,53;1932,07;15960,56;14090,05;8753,84;2425,03;3007,59;10737,01;2051,08;1177919,10
