 Morbidade Hospitalar do SUS - por local de residência - Brasil
Valor Total por Unidade da Federação e Ano/mês processamento
Lista Morb  CID-10: Hepatite aguda B, Outras hepatites virais
Período:1998-2007
"Unidade da Federação";"1998/Jan";"1998/Fev";"1998/Mar";"1998/Abr";"1998/Mai";"1998/Jun";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Nov";"1998/Dez";"1999/Jan";"1999/Fev";"1999/Mar";"1999/Abr";"1999/Mai";"1999/Jun";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Out";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Abr";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Ago";"2002/Set";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Mai";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Set";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"Total"
"24 Rio Grande do Norte";623,68;879,32;2186,43;1304,13;1811,54;1608,43;1929,33;969,22;1164,47;2531,40;6573,05;2513,09;2313,62;1186,86;964,80;2196,54;4397,07;2908,30;2420,09;1911,90;1987,92;2347,15;1550,56;1527,25;3280,99;1522,80;1975,00;2616,13;3212,93;1475,95;2077,56;1846,83;1077,36;1908,58;1880,46;854,05;2382,07;1093,09;4208,36;921,21;2233,48;1491,70;1452,67;2961,67;3273,80;1430,73;1999,92;1136,63;1525,46;996,59;1945,47;2371,40;1023,87;2309,62;2330,79;3095,27;3130,71;5246,71;1562,56;2485,03;2483,33;1447,18;1494,88;1422,38;2229,00;1084,77;2045,66;3140,07;1918,77;1081,53;2590,48;5134,61;3787,13;1687,57;2517,92;3175,98;1638,57;1299,15;2714,46;3074,68;4695,25;3781,05;2001,92;4673,70;3533,50;2363,79;3896,67;6278,21;2431,25;4497,86;2272,10;4047,33;5191,06;1624,29;4987,76;6369,41;3253,43;4172,03;3600,89;3933,09;3243,61;1779,34;3496,57;5114,79;2617,64;5415,70;4055,34;8197,89;2032,55;4770,19;2873,32;1690,56;2739,43;3451,74;1728,06;2367,27;2172,77;1274,87;2365,45;2267,78;313371,18
"25 Paraíba";1206,31;495,41;3780,35;3857,54;3781,64;5376,59;2885,01;2703,18;4428,70;9048,41;8014,77;4383,03;2748,58;5532,16;3631,49;4962,59;3603,40;3896,19;4899,37;5263,14;9824,38;7162,20;2577,37;15825,72;2702,72;5876,24;5952,42;3719,54;5572,02;2699,90;3483,52;4392,70;3255,27;6109,15;2363,50;7212,13;4369,53;6267,27;3697,12;3613,01;4529,35;3798,42;4259,89;6372,43;5357,31;7356,60;4989,36;4415,23;3227,98;5617,09;5901,65;4515,28;4915,07;4395,21;6448,42;4943,67;6786,05;5022,40;5076,97;4454,59;4817,22;6185,01;12936,50;8246,52;5059,50;6097,57;6664,95;4564,73;5227,40;3139,82;3386,40;9219,44;4116,16;5257,14;3599,05;2717,20;3458,02;9087,69;6107,76;8525,26;9995,32;5804,80;2474,91;3396,77;8057,88;1803,71;3886,76;4919,72;6680,19;7124,19;2335,67;5370,26;5004,25;1799,41;6135,77;8404,68;7706,54;19656,68;7848,86;6490,11;8722,72;4620,83;3248,60;8184,88;3821,44;5808,14;4564,24;3797,01;4784,76;6470,00;6305,05;5020,47;3290,94;3038,86;3646,33;7365,33;6794,17;7926,04;5551,74;5862,69;645690,60
"26 Pernambuco";2252,87;2501,68;3181,68;2512,32;5107,65;2902,67;5390,75;3540,95;3644,86;3541,12;8491,40;5458,36;3441,26;9357,24;4012,16;3323,15;3174,43;4393,19;3715,71;8628,25;7619,48;8703,42;9920,18;10016,40;12085,82;4864,11;5953,48;5914,74;6271,44;8485,60;5970,89;5850,61;4193,00;5058,17;4927,19;4670,98;8773,92;7382,76;7482,89;8416,72;94583,58;5854,65;9429,35;6006,39;6099,33;2727,17;9693,48;9175,04;5978,70;5434,44;5178,63;7988,08;10809,63;7947,42;6959,99;64390,33;8934,19;9234,86;6982,66;15804,05;10333,12;9690,01;10629,31;9174,89;7729,01;4458,55;9065,03;9245,87;7690,65;11746,01;7291,41;21121,79;8747,94;10721,45;7137,16;7921,15;9706,61;5860,09;9045,35;15168,83;7565,44;7983,70;7474,56;6318,16;8646,55;12504,87;8567,30;9575,80;10495,19;7074,81;4641,31;9845,25;15575,80;9682,92;9469,31;9409,92;9307,96;11764,75;11622,88;9484,11;4576,49;5253,26;10264,72;7944,30;10152,73;6403,17;9203,17;6534,08;10727,50;7152,26;13420,33;6920,10;4488,00;8662,29;6904,55;7771,76;9391,31;8354,05;4997,88;8513,14;1067475,38
"27 Alagoas";972,39;938,30;731,31;1242,97;1334,54;1571,04;1398,96;2538,00;796,88;1348,46;4112,50;1571,58;1436,60;1378,57;1850,61;760,58;2391,52;929,13;813,24;1289,35;1263,38;2575,23;1348,66;1529,61;2639,29;911,81;1743,62;2651,28;2085,31;1329,66;1050,79;691,50;2334,11;808,85;634,36;1906,09;1459,02;3345,70;453,31;2296,64;687,36;1649,75;1292,13;1270,88;2163,72;2509,67;1654,87;1466,59;1791,91;1313,57;1158,09;1892,32;1318,59;2520,06;1574,89;1240,94;1598,91;1079,25;652,79;1218,69;1898,00;1519,78;459,51;1317,57;1708,28;2944,63;2412,51;1790,77;1473,89;158,55;1907,01;634,20;2168,85;1721,22;1106,28;3763,09;2284,71;1614,28;2897,20;4319,04;3417,14;6156,66;5553,12;2579,05;5670,85;7807,71;5629,89;2134,95;12050,76;3785,61;4939,87;6778,67;4530,42;4682,87;1443,82;1124,33;2835,80;1300,40;2080,97;4483,70;1562,77;1525,35;3973,56;4538,58;1877,82;1988,87;2171,79;1319,69;1835,43;3506,10;3750,08;5911,08;1981,85;4300,09;1821,27;1683,67;890,11;5684,11;2686,57;6147,89;278762,37
"28 Sergipe";404,98;341,20;548,55;365,50;659,36;426,52;980,22;773,23;986,49;1226,23;693,09;1386,17;426,52;959,66;3027,91;1031,13;2274,25;560,27;503,03;874,34;1244,07;780,40;348,88;2088,52;524,01;2313,66;611,91;635,31;1406,99;1567,61;683,09;849,80;1570,93;1899,64;872,24;2762,79;1001,27;2885,28;1109,47;1110,13;1994,27;2233,01;1321,86;3550,85;1723,85;1506,60;1757,76;2378,76;2404,53;1225,50;1287,42;3542,18;2848,77;1553,39;2474,22;2293,85;4760,27;2819,82;1086,11;3544,08;1347,93;2468,96;769,84;5502,14;1996,56;1188,90;2561,34;1520,44;3852,40;2536,96;1977,07;3527,53;3349,38;4243,54;3480,35;3369,09;1888,52;2146,67;4530,18;2147,84;1428,91;1994,89;2053,83;1366,71;1302,68;1335,45;2001,58;1697,68;3853,95;1418,52;3967,84;4389,25;830,41;1620,99;547,43;2938,33;2187,29;1120,07;1848,43;792,70;1087,25;2193,59;683,83;2698,80;2258,99;2495,79;4207,60;2336,89;1614,55;1865,45;1818,64;1163,40;761,29;1684,84;2610,18;2577,17;1367,64;2662,78;540,01;407,11;221160,13
"29 Bahia";452,19;1916,31;7835,06;5397,45;4091,67;7509,02;6206,43;8652,96;9164,54;10215,51;9125,46;5829,20;7035,48;8465,90;8827,07;8823,89;8938,30;7082,97;7286,99;8535,32;7792,19;11864,44;11943,42;10914,57;13016,67;10332,67;13050,60;9161,25;10352,92;8877,23;7672,76;11768,36;10237,67;15392,85;14243,24;14118,61;13418,36;13051,31;15925,27;11896,19;12986,18;11524,58;10961,89;10290,17;7359,88;9745,89;12467,76;10094,32;15958,19;12941,01;11413,63;14951,37;14855,70;13356,19;13628,97;19430,41;16732,66;11742,04;14913,61;20206,38;14888,94;15288,22;16166,16;17457,80;12281,14;13281,65;15168,17;10609,66;10178,60;10105,48;20439,26;12188,64;16717,44;15750,93;13588,37;17415,06;11757,29;14476,42;16089,63;15046,41;12136,24;10432,71;17050,30;20709,71;15998,54;19186,98;12527,09;15461,41;17904,95;17515,22;14950,22;20435,72;17430,57;20579,33;15123,12;14991,98;23036,80;16313,87;18051,81;17957,58;20750,40;16701,01;19544,36;12448,89;12078,88;18315,53;11707,08;19351,99;16508,59;15454,69;20451,56;24059,24;19211,07;10038,15;15952,10;14805,51;33153,57;21360,04;21903,77;20163,36;1632632,34
"31 Minas Gerais";8006,22;10656,76;13867,67;12015,41;12765,96;12077,05;13969,69;11943,43;11042,30;13659,22;14433,40;16004,32;12293,47;14612,88;16348,04;16203,55;12330,86;9162,61;9190,63;11290,61;12043,49;45591,94;22209,10;17169,93;30217,78;19731,96;23858,72;18728,46;19131,96;17100,66;15794,40;16982,17;17042,28;22404,31;22240,64;22620,71;33436,67;29046,22;29560,36;28432,62;20908,89;16905,75;20034,22;22194,02;23726,47;19032,55;24471,46;23967,19;25032,64;21338,63;23387,64;15850,37;21509,04;28112,50;22442,75;25785,65;20127,71;23661,08;23556,28;26048,90;36309,65;32786,59;26016,39;22135,52;36581,43;25125,80;30107,55;26229,89;26469,89;29021,82;24248,04;29561,72;21775,66;26928,31;31796,78;24172,44;34115,43;30849,31;21429,69;31701,78;24813,02;24324,92;33684,18;20519,13;28390,58;27999,68;36552,50;25201,14;38636,41;22773,89;30220,69;17600,62;23234,01;26693,98;21580,32;25021,13;17869,06;22639,75;25942,93;33189,20;20063,54;19445,10;25176,21;21071,63;13907,12;27998,83;20143,77;33649,45;24066,78;25589,13;21005,70;25032,76;16640,40;25576,32;16555,12;24849,84;17276,26;16477,71;18756,43;29339,67;2700184,80
"32 Espírito Santo";1929,13;2650,87;2580,94;2595,93;1409,32;2160,78;1513,78;5960,64;4032,05;2682,69;2526,36;2429,36;2491,89;960,56;2220,95;1805,02;1880,14;2304,92;2959,54;2119,69;2590,05;4279,65;4904,69;7535,22;4335,84;10313,30;7173,91;6754,00;4878,71;1859,07;3247,52;4403,37;3300,87;3940,83;8534,22;7657,47;8399,67;5943,23;9036,23;5835,76;9362,42;10664,54;5091,44;5678,10;3892,82;7787,91;5603,99;5232,04;6181,55;5525,68;5256,60;7074,69;4633,86;7850,49;3501,98;3845,62;4916,08;4610,15;4855,47;4717,59;5624,39;4630,99;3218,93;4246,48;3904,65;1640,30;3190,77;4149,45;2573,79;5034,32;4800,70;6395,86;5752,64;7593,67;6133,71;3531,34;4573,39;3261,19;4963,72;4057,76;5176,58;3343,90;7157,53;4982,00;7481,83;9449,01;4688,22;5661,13;5485,70;6856,99;1876,65;2986,81;3062,33;5782,47;4923,64;5031,33;5172,75;6873,72;5689,72;6427,35;4557,35;2433,74;4415,99;4527,56;7093,36;8216,78;3434,70;5534,69;4364,59;4408,59;4534,78;3213,87;3807,17;10214,10;5091,91;7152,02;4268,91;5442,37;8793,57;7237,40;586552,35
"33 Rio de Janeiro";3246,95;3238,92;6148,04;5125,10;8594,87;9850,42;8627,02;7012,62;6633,69;8124,52;9073,99;9997,73;6301,34;8656,34;6420,67;15811,60;7098,12;8662,16;10206,70;10952,99;9302,32;11757,01;9468,19;12509,89;9450,76;11240,26;10846,54;11957,50;13402,42;10412,93;11777,35;12570,18;13368,22;14831,13;18573,49;22442,10;15975,36;24034,04;23435,45;16080,62;13338,56;12035,82;20778,02;15547,74;18283,96;18475,00;10221,27;12756,43;13108,37;11289,93;22415,49;14712,84;13579,49;15694,41;8463,12;14535,87;11357,79;23793,52;12669,96;9653,96;14834,89;18087,67;12916,51;18325,98;16200,23;13708,27;10921,98;13860,58;19135,67;18690,80;11018,92;14738,91;18152,43;12866,65;20687,36;18389,90;24518,37;34806,24;17801,28;17487,91;14787,20;16711,53;16862,10;21286,86;21640,86;20255,99;25094,96;22415,46;17309,15;18580,59;19474,26;11475,52;14674,73;18719,87;26544,64;19231,90;27068,82;23691,16;22107,87;19216,39;13822,97;20362,64;23720,77;20935,57;17205,06;26881,60;16982,79;12366,16;15157,63;11742,83;16610,27;18658,96;21764,79;14912,26;12889,36;26423,69;18572,21;26346,40;19955,45;20285,24;1855828,16
"35 São Paulo";69285,91;17455,22;17271,96;24412,61;34663,48;44613,95;41566,34;44446,83;20018,90;85254,73;31364,59;93027,89;25089,93;35728,49;91776,54;50941,88;141318,07;82759,94;33910,35;21627,89;31049,40;38870,53;45933,59;47660,72;39291,20;36260,70;91858,32;71886,08;37612,96;42000,11;32223,04;44778,28;29022,56;38150,40;122983,89;62986,51;54248,61;135766,39;67323,66;64796,06;164245,02;123889,80;53222,23;103386,20;122140,37;66945,94;117005,07;48399,49;36178,59;143234,79;194276,26;52772,66;34235,46;95313,88;52951,15;51795,61;95423,75;46857,15;52978,04;50075,95;59401,33;49779,56;47554,16;52806,20;41979,75;48339,31;54932,11;64560,50;56807,74;57907,38;59661,68;38888,49;50345,30;44740,31;50737,79;55213,54;50395,96;60119,91;57717,62;47916,31;46852,52;67584,32;62257,12;82325,22;44913,26;65863,21;57749,72;64347,77;58461,39;57274,62;53678,40;58841,37;65302,25;58027,40;51566,21;60883,38;58510,37;56547,88;61732,65;71557,45;57653,53;52850,17;47220,59;53482,75;34941,68;54577,60;45523,47;54284,03;67957,56;48196,74;54921,78;55220,11;63292,01;56728,48;47957,73;49345,39;60045,31;48712,86;55002,53;59999,71;7168561,41
"41 Paraná";7888,63;7752,75;10103,37;9844,67;7898,31;10699,61;7754,81;5928,05;12846,94;9692,98;10043,31;7304,90;7798,46;9514,36;14386,67;12434,50;8864,39;9008,10;8173,51;13911,77;6062,65;9938,98;14152,54;11020,45;11636,84;16920,44;24064,02;15865,88;13117,09;13265,68;14130,75;13607,43;10808,83;18385,95;13356,67;12789,03;17435,63;17393,48;28138,45;19112,05;17066,83;18324,94;19582,10;13650,81;14606,27;14321,91;11600,08;14474,24;14816,23;14732,25;15969,88;18146,34;17691,61;12267,07;10617,59;11984,15;6677,67;15039,79;11477,65;12214,08;16340,30;14197,50;18571,37;18720,48;19428,70;25686,18;15646,00;11120,34;21579,26;14225,50;18805,20;13095,16;20632,26;24497,71;23644,54;16313,61;21745,74;15603,32;18149,63;12126,27;24062,15;19486,03;26674,03;12462,72;17172,69;19328,19;24680,36;27565,09;22949,00;22647,73;19124,22;28428,50;46761,72;18440,52;16284,10;15484,99;19606,74;20363,44;20371,27;23726,49;11167,72;29083,46;33257,12;18989,24;14552,85;15978,24;10674,12;10019,38;15864,26;14555,85;17455,56;11845,45;14932,29;13805,37;11868,69;14989,66;12766,25;24941,04;16055,82;10852,27;1907718,11
"42 Santa Catarina";2906,29;6795,71;7170,24;6178,57;7372,54;7963,79;5177,02;6392,07;6162,44;8354,85;8668,69;6301,26;8398,33;11032,88;8936,34;8213,33;10237,81;11722,23;6253,45;6550,18;7714,96;8593,58;8636,01;16606,93;10842,31;14115,39;13525,96;14713,16;15501,02;13446,79;11479,96;12608,75;12002,09;11127,85;8318,46;12104,21;9612,43;11706,06;12949,69;12094,15;12489,13;17130,86;9539,28;13592,95;10686,04;11651,39;8600,32;11018,41;12611,14;9232,43;11383,20;10600,80;7557,48;11011,10;10801,74;10576,38;11246,44;6596,48;9176,08;11932,50;11282,09;14296,39;12156,38;11058,17;10117,38;7150,92;6768,20;10451,35;9014,58;5483,93;7128,82;10034,21;5287,23;12458,63;11540,39;11052,97;19815,85;8568,40;5773,72;7334,03;8588,52;5977,39;8778,55;9331,16;4259,71;12383,36;11248,10;14119,03;13662,17;13108,93;10401,54;8647,07;7940,60;6361,88;7327,35;6371,30;10302,69;8411,58;9746,33;6859,30;9766,20;7144,94;7497,63;7715,69;8344,76;8743,60;5289,01;6303,35;11567,44;7357,98;11143,84;15374,49;8196,54;12745,15;8924,77;6443,82;7145,32;13055,66;7032,57;7274,83;1163589,72
"43 Rio Grande do Sul";15323,73;11944,47;15507,86;18660,43;20853,15;20405,84;12120,36;13910,25;12163,01;15248,71;13159,00;27541,17;16479,19;12406,08;20999,81;11917,82;16329,48;16998,32;13099,66;13468,90;11704,21;17506,62;21059,21;20985,81;24282,18;33461,02;39658,76;33767,28;33349,83;31265,79;28864,07;24368,56;21322,69;23202,43;25361,69;30700,41;33925,79;33270,47;43097,56;37500,99;36804,65;31824,41;32584,25;32631,95;29411,02;23010,69;25313,24;24286,61;30690,94;29716,79;37052,53;34771,42;30050,92;22670,06;22948,18;21002,35;21514,42;19034,91;25454,86;33681,19;59809,12;39441,97;44139,40;27995,79;32177,09;31658,83;23712,35;27477,18;22741,97;30081,64;17601,85;43958,16;31114,40;33765,02;32008,73;33441,28;33232,24;24848,56;23253,25;30355,62;25220,52;29045,16;39109,50;22109,22;32911,69;31355,25;29242,32;30930,71;24500,80;29224,43;24412,80;23168,79;24163,29;28969,38;22910,53;25860,08;24939,28;22783,34;37507,73;28534,59;20487,82;19359,47;15055,07;21571,40;17015,60;15062,25;24068,09;18396,88;24444,08;22518,59;24048,33;20389,62;19973,05;21871,85;14426,82;17365,63;20691,71;20267,18;23077,04;22644,26;3054096,60
"50 Mato Grosso do Sul";1729,89;2288,23;1514,17;1828,64;1974,56;1724,56;1704,40;1935,16;1190,16;2309,01;1546,44;1946,16;2666,33;4054,31;2924,20;2617,71;3079,59;2190,84;2498,92;1886,94;1675,39;5653,33;2255,21;7695,98;4654,21;3725,81;3962,67;3638,84;3534,23;2987,28;2736,79;1645,87;3233,07;4082,82;4362,46;3931,42;4692,69;3288,45;5912,51;3395,36;4070,09;4178,73;9518,24;5412,51;3464,49;6424,77;4725,02;5005,88;4177,88;6530,91;6299,58;3958,81;5190,04;5115,49;3565,30;2824,26;3335,91;2648,34;3371,95;7330,48;3941,32;8753,36;2203,24;3825,95;6406,64;5485,79;3414,74;2074,43;2898,11;1720,14;5372,36;6216,99;4029,57;4956,56;5908,29;5453,69;6202,72;4927,95;5788,78;3766,28;2256,02;3492,70;5002,54;4741,77;8562,46;7668,46;6754,79;7811,32;6052,46;3701,48;9181,56;4415,06;5968,72;5002,45;7880,45;6725,34;9926,01;7755,42;4359,09;4578,50;5224,14;5957,09;2902,13;3084,34;5004,44;3206,96;3465,07;4664,23;4449,80;5066,49;5270,57;5782,36;13325,82;2831,50;4882,42;4234,58;11100,36;3186,65;4965,86;5049,92;536661,53
"51 Mato Grosso";1967,79;4347,26;3415,70;3670,64;2662,88;2945,26;4088,99;7156,13;2673,07;5931,66;3062,49;5860,35;4377,61;6222,09;4851,30;4511,16;5872,55;1964,39;2378,19;3495,66;3703,27;4312,47;4102,55;6663,93;8089,46;7014,30;6540,31;5327,27;6372,18;3834,65;5742,28;3708,87;4618,18;5126,04;5922,32;4787,03;5710,51;7473,27;7830,03;7418,64;4803,74;6419,75;6161,45;9071,35;7250,62;9619,01;4383,59;6756,71;3569,59;4332,79;8593,39;2535,11;4885,68;7144,51;1851,12;5186,14;4024,97;2961,99;4593,41;2846,56;4663,76;3542,17;4030,08;9722,66;4223,21;3426,40;3346,08;3248,71;9425,05;2730,49;3720,75;4981,61;7695,23;3726,38;3694,96;7058,88;6765,58;2818,85;8661,30;6931,39;5212,21;4936,39;2873,23;4840,76;7076,78;5179,00;6938,51;4220,08;4617,68;4504,34;6263,78;3024,68;6386,36;6243,41;7968,89;6796,06;10410,55;9070,79;7672,36;5033,67;3462,78;9907,49;4687,55;3968,75;7806,42;3975,52;2232,69;5707,16;8493,55;7351,65;5163,39;3014,17;4537,46;3138,27;4147,94;3821,01;3439,22;4018,76;2829,01;3433,76;621563,83
"52 Goiás";844,38;2347,82;3459,62;1914,93;2132,92;1726,44;1076,90;986,17;2531,95;4197,67;9880,09;2953,73;3372,37;4591,49;4171,62;5005,32;2274,87;2638,97;4004,83;2743,71;4397,47;10782,43;7255,10;5246,40;7687,74;6376,18;5200,58;6636,31;5868,25;6597,13;4548,88;2986,62;3148,22;4846,28;6478,81;5543,12;12200,15;7537,45;6430,77;5091,80;7638,00;4933,43;8403,58;5392,75;4258,04;4572,36;5834,01;6548,83;5633,63;6113,19;7585,15;5011,65;4851,36;4817,24;3448,03;5676,01;4364,74;3053,89;5827,84;3891,46;3711,97;10817,39;18266,41;14886,64;18381,38;8278,13;13591,64;12064,21;15424,39;11386,93;9544,45;16471,62;16181,16;11286,64;15246,61;7513,84;15656,40;12845,81;11460,71;5267,08;5786,26;6802,16;7166,59;8108,64;6223,85;9424,24;7575,81;6499,54;10523,50;6983,42;8900,32;8374,36;5963,22;6379,68;7677,90;9382,64;7078,85;13031,84;11823,09;6417,82;8905,06;10980,32;6406,60;7104,62;6934,58;8627,68;16586,87;9400,16;5203,51;6050,93;6114,38;8128,72;5134,14;6085,49;2921,25;3565,59;3402,54;6848,31;6622,58;4100,17;843101,32
"53 Distrito Federal";213,24;-;914,56;772,59;127,94;1261,55;226,98;1546,19;732,33;3874,50;1164,71;2076,29;1443,81;1663,42;1775,27;1407,21;893,19;832,10;1077,13;839,35;1142,03;1009,66;1713,74;3785,32;4568,79;2010,96;1211,45;1218,96;1189,46;317,18;1345,10;1561,29;1577,13;475,77;8925,72;3508,57;7175,70;3893,31;3716,24;1204,76;4173,24;1655,29;1731,83;3610,24;3211,75;1182,28;536,09;5622,90;2887,21;1715,54;4190,79;3191,70;2563,21;1627,49;2286,14;2426,18;10232,72;4952,40;1669,40;532,50;2681,59;3445,86;3033,87;2167,17;4767,25;207,58;2702,78;1201,95;2020,34;967,26;2717,70;1664,52;1660,61;1773,86;3664,78;1996,14;2907,15;2899,62;3635,32;1969,98;2235,82;1605,62;1884,68;3094,74;2829,57;1935,40;1510,08;2706,06;3387,45;2212,40;2684,25;4736,83;4296,07;2442,00;2881,25;1853,72;3809,33;3040,19;3542,50;6723,84;4578,98;1892,46;1009,89;2628,70;809,75;852,36;970,84;3148,46;2383,29;3170,01;1816,75;2172,85;2210,84;1725,67;4282,71;6287,25;2843,21;4585,65;3450,10;4875,14;297584,44
"00 Ignorado/exterior";3645,59;3576,24;7716,05;6659,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21597,16
"Total";148941,79;114593,92;148869,64;148209,06;166823,66;194895,07;169988,41;179769,55;149938,69;234475,68;192053,60;241348,61;158421,96;187945,64;244625,21;200826,05;287753,41;218054,86;163276,54;162330,43;175261,96;262283,41;238186,92;268893,39;257759,64;263836,56;334927,17;291612,39;254862,43;228160,07;215320,03;228198,41;204045,94;252861,84;346727,67;293320,04;310890,73;389610,10;343598,24;310492,87;489521,44;343230,14;281510,38;328325,17;338843,42;279863,36;318603,05;250252,89;254034,66;345334,53;430917,58;278249,65;252463,07;310639,43;245292,77;309350,81;306605,21;260738,94;247394,12;275537,97;324424,46;301560,72;310636,09;290313,07;291922,65;256150,47;288101,96;268435,88;295812,05;276383,51;265565,85;302394,36;284697,49;289053,55;317303,35;298436,77;355615,75;327236,75;310880,54;317900,47;287179,65;308732,93;321112,48;305985,49;320477,82;361490,03;358153,10;338019,76;356615,83;334992,06;331644,30;330453,78;371835,02;320804,95;308681,18;328629,05;352029,88;341177,20;368020,12;363786,83;331958,00;317336,09;311711,85;319840,94;277328,16;302974,64;282871,22;299886,47;312054,79;273138,72;301486,30;288826,03;289798,01;282322,53;249835,17;277098,11;309264,52;305546,78;297048,94;307840,81;33951515,46
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
